full_name
NESN:SIX - Nestle Ag
NOVN:SIX - Novartis Ag
HSBA:LDN - HSBC Holdings PLC
ROG:SIX - Roche Holding Ag
MC:ENXP - LVMH Moet Hennessy - Louis Vuitton SE
BP/:LDN - BP PLC
OR:ENXP - L'Oreal
RDSA:ENXA - Royal Dutch Shell
ABI:ENXB - Anheuser-Busch Inbev Sa
SAN:ENXP - Sanofi
AZN:LDN - Astrazeneca PLC
GSK:LDN - Glaxosmithkline PLC
ITX:ESP - Inditex SA
DGE:LDN - Diageo PLC
NOVOB:OMXC - Novo Nordisk A/S
BATS:LDN - British American Tobacco PLC
SAN:ESP - Banco Santander SA
AIR:ENXP - Airbus SE
EQNR:OSLO - Equinor ASA
ULVR:LDN - Unilever PLC
VOD:LDN - Vodafone Group PLC
ASML:ENXA - ASML Holding Nv
CDI:ENXP - Christian Dior SA
BNP:ENXP - BNP Paribas
RIO:LDN - Rio Tinto PLC
RB/:LDN - Reckitt Benckiser Group PLC
ENI:MIL - Eni
RMS:ENXP - Hermes International
ENEL:MIL - Enel SPA
KER:ENXP - Kering
CS:ENXP - AXA
LLOY:LDN - Lloyds Banking Group PLC
GLEN:LDN - Glencore PLC
UBSG:SIX - UBS Group
AI:ENXP - Air Liquide
BSN:ENXP - Danone
EI:ENXP - EssilorLuxottica SA
HEIA:ENXA - Heineken NV
PRU:LDN - Prudential PLC
INGA:ENXA - Ing Groep
SAF:ENXP - Safran SA
EDF:ENXP - Electricite De France
DG:ENXP - Vinci SA
BHP:LDN - BHP Group PLC
IBE:ESP - Iberdrola SA
REL:LDN - Relx PLC
BARC:LDN - Barclays PLC
TEF:ESP - Telefonica SA
ZURN:SIX - Zurich Insurance Group AG
ISP:MIL - Intesa Sanpaolo
ORA:ENXP - Orange SA
RI:ENXP - Pernod-Ricard
SU:ENXP - Schneider Electric SE
ABBN:SIX - ABB Ltd
BT/A:LDN - BT Group PLC
CPG:LDN - Compass Group PLC
BBVA:ESP - Banco Bilbao Vizcaya Argentaria Sa
ACA:ENXP - Credit Agricole Sa
TSCO:LDN - Tesco PLC
NG/:LDN - National Grid PLC
CFR:SIX - Richemont N Sa
ENGI:ENXP - Engie
IMB:LDN - Imperial Brands PLC
PHIA:ENXA - Koninklijke Philips Electronics NA
GLE:ENXP - Societe Generale SA
UCG:MIL - Unicredit
AAL:LDN - Anglo American PLC
CSGN:SIX - Credit Suisse Group AG
NOKIA:HELS - Nokia Oyj
KBC:ENXB - KBC Groep NV
VIV:ENXP - Vivendi
DSY:ENXP - Dassault Systemes SE
FCA:MIL - Fiat Chrysler Automobiles
AD:ENXA - Koninklijke Ahold Delhaize NV
STAN:LDN - Standard Chartered PLC
SREN:SIX - Swiss Re AG
DNB:OSLO - DNB ASA
AMS:ESP - Amadeus It Group
G:MIL - Assicurazioni Generali
ABF:LDN - Associated British Foods PLC
ERICB:OMX - Telefonaktiebolaget Lm Ericsson
EXPN:LDN - Experian PLC
TEL:OSLO - Telenor Asa
HMB:OMX - H&M Hennes & Mauritz AB
DENERG:OMXC - Orsted A/S
SWEDA:OMX - Swedbank AB
ABN:ENXA - Abn Amro Bank NV
LHN:SIX - LafargeHolcim Ltd
REP:ESP - Repsol YPF SA
SEBA:OMX - SEB SA
CSF:ENXP - Thales SA
MT:ENXA - Arcelormittal
BA/:LDN - Bae Systems PLC
ELE:ESP - Endesa SA
KNEBV:HELS - Kone OYJ
RR/:LDN - Rolls-Royce Holdings Plc
URW:ENXA - Unibail-Rodamco
AENA:ESP - Aena Sme SA
ATCOA:OMX - Atlas Copco AB
AV/:LDN - Aviva PLC
CABK:ESP - Caixabank SA
DANSKE:OMXC - Danske Bank A/S
HEIO:ENXA - Heineken Holding PLC
NTGY:ESP - Naturgy Energy Group Sa
SAMPO:HELS - Sampo PLC
SHB/A:OMX - Svenska Handelsbanken 'A' PLC
SCMN:SIX - Swisscom
VOLVB:OMX - Volvo AB
AKZA:ENXA - Akzo Nobel NV
GIVN:SIX - Givaudan SA
LONN:SIX - Lonza Group AG
NESTE:HELS - Neste
RNO:ENXP - Renault SA
ASSAB:OMX - Assa Abloy AB
FORTUM:HELS - Fortum OYJ
LGEN:LDN - Legal & General Group PLC
LSE:LDN - London Stock Exchange Group PLC
ML:ENXP - Michelin
UG:ENXP - Peugeot SA
SAND:OMX - Sandvik AB
SN/:LDN - Smith & Nephew PLC
SSE:LDN - SSE PLC
ADP:ENXP - Adp
COLOB:OMXC - Coloplast A/S
EBS:WIEN - Erste Group Bank AG
FERG:LDN - Ferguson PLC
IAG:LDN - International Consolidated Airlines Group Sa
SGO:ENXP - Saint Gobain
SGSN:SIX - SGS SA
TELIA:OMX - Telia Company AB
ATL:MIL - Atlantia
CAP:ENXP - Capgemini SE
INVEB:OMX - Investor AB
KRZ:DUBL - Kerry Group PLC
LR:ENXP - Legrand
KN:ENXP - Natixis
OMV:WIEN - OMV AG
WKL:ENXA - Wolters Kluwer NV
WPP:LDN - WPP PLC
DSM:ENXA - Koninklijke DSM
FER:ESP - Ferrovial SA
PGHN:SIX - Partners Group Holding
SBRY:LDN - Sainsbury J PLC
SIKA:SIX - Sika AG
SRG:MIL - Snam SPA
SDX:ENXP - Sodexo
UCB:ENXB - UCB SA
ANTO:LDN - Antofagasta PLC
BNZL:LDN - Bunzl PLC
CA:ENXP - Carrefour SA
EXO:MIL - Exor
HEXA/B:OMX - Hexagon AB
KNIN:SIX - Kuehne+Nagel International G
RY4C:DUBL - Ryanair Holdings PLC
VWS:OMXC - Vestas Windsystems A/S
MAERSKB:OMXC - A P Moller - Maersk A/S
AC:ENXP - Accor
ADYEN:ENXA - Adyen NV
AHT:LDN - Ashtead Group PLC
ENT:ENXP - Bouygues SA
CCL:LDN - Carnival PLC
CNA:LDN - Centrica PLC
CNP:ENXP - Cnp Assurances
CCH:LDN - Coca Cola Hbc AG
EZJ:LDN - Easyjet PLC
GEBN:SIX - Geberit AG
IHG:LDN - Intercontinental Hotels Group PLC
MRW:LDN - Morrison(Wm)Supermarkets PLC
NXT:LDN - Next PLC
NN:ENXA - NN Group
PSON:LDN - Pearson PLC
PUB:ENXP - Publicis Groupe SA
SGRO:LDN - Segro PLC
UPM:HELS - Upm-Kymmene Oyj
A5G:DUBL - Aib Group PLC
ALOT:ENXP - Alstom SA
BOL:ENXP - Bollore NV
BLND:LDN - British Land Company PLC
BRBY:LDN - Burberry Group PLC
CAB:OMXC - Carlsberg AS
CNHI:MIL - CNH Industrial NV
DSV:OMXC - DSV Panalpina A/S
GBL:ENXB - Groep Brussel Lambert NV
GFC:ENXP - Gecina
GRF:ESP - Grifols SA
HL/:LDN - Hargreaves Lansdown PLC
INF:LDN - Informa PLC
ITRK:LDN - Intertek Group PLC
JMAT:LDN - Johnson Matthey PLC
KPN:ENXA - Koninklijke Kpn NV
MRO:LDN - Melrose Industries Limited
MCRO:LDN - Micro Focus International PLC
MHG:OSLO - Mowi ASA
SGE:LDN - The Sage Group PLC
SOL:ENXB - Solvay SA
TEN:MIL - Tenaris SA
TRN:MIL - Terna Rete Elettrica Naz
AGN:ENXA - Aegon
AMUN:ENXP - Amundi
CHR:OMXC - Chr Hansen Holding As
CRDA:LDN - Croda International PLC
CPR:MIL - Davide Campari Milano
EDP:ENXL - EDP Energias De Portugal Sa
EMSN:SIX - EMS-Chemie Holding Ag
EVR:LDN - Evraz PLC
GALP:ENXL - Galp Energia Sgps
IPN:ENXP - Ipsen SA
LAND:LDN - Land Securities Group PLC
OCDO:LDN - Ocado Group PLC
PKO:WARS - PKO Bank SA
PKY1:WARS - Polski Koncern Naftowy Orlen
REE:ESP - Red Electrica Corporacion SA
RTO:LDN - Rentokil Initial PLC
SDR:LDN - Schroders PLC
SMIN:LDN - Smiths Group PLC
SLA:LDN - Standard Life Aberdeen PLC
SLHN:SIX - Swiss Life Holding AG
TIT:MIL - Telecom Italia
UMI:ENXB - Umicore SA
VIE:ENXP - Veolia Environnement
WRT1V:HELS - Wartsila Oyj Abp
WTB:LDN - Whitbread PLC
ACS:ESP - Acs Actividades Construccion Y Servicios
ADM:LDN - Admiral Group PLC
AGS:ENXB - Ageas SA
AKERBP:OSLO - Det Norske Oljeselskap Asa
ALFA:OMX - Alfa Laval Ab
ATO:ENXP - Atos
BKIA:ESP - Bankia SA
BVI:ENXP - Bureau Veritas International
LISN:SIX - Chocoladefabriken Lindt &Spruengli AG
AM:ENXP - Dassault Aviation
DCC:LDN - DCC PLC
HLMA:LDN - Halma PLC
ITV:LDN - ITV PLC
JD/:LDN - JD Sports Fashion PLC
KGF:LDN - Kingfisher PLC
LI:ENXP - Klepierre
MKS:LDN - Marks & Spencer Group PLC
MONC:MIL - Moncler
MNDI:LDN - Mondi PLC
NHY:OSLO - Norsk Hydro Asa
NZYMB:OMXC - Novozymes A/S
PSN:LDN - Persimmon PLC
PIRC:MIL - Pirelli & C
PST:MIL - Poste Italiane
RBI:WIEN - Raiffeisen Bank International AG
SCO:ENXP - Scor SE
GAM:ESP - Siemens Gamesa Renewable Energy SA
SMDS:LDN - Smith (Ds) PLC
SOON:SIX - Sonova Holding AG
STERV:HELS - Stora Enso Oyj
SEV:ENXP - Suez Company
UHR:SIX - Swatch Group AG
ULVR:ENXA - Unilever Dutch
FR:ENXP - Valeo
WLN:ENXP - Worldline
YAR:OSLO - Yara International ASA
AKE:ENXP - Arkema
SAB:ESP - Banco De Sabadell SA
BKG:LDN - Berkeley Group Holdings PLC
BIM:ENXP - Biomerieux SA
COLR:ENXB - Colruyt
COV:ENXP - Covivio SA
EDEN:ENXP - Edenred
ELUXB:OMX - Electrolux AB
EPIA:OMX - Epiroc Ab NPV
GEN:OMXC - Genmab A/S
HMSO:LDN - Hammerson PLC
ICAD:ENXP - Icade
BAER:SIX - Julius Baer Gruppe Ag
MB:MIL - Mediobanca Banca Di Credito SA
PROX:ENXB - Proximus SA
PZUEMEA:WARS - PZU Group SA
RAND:ENXA - Randstad NV
BZW:WARS - Santander Bank Polska SA
SPX:LDN - Spirax-Sarco Engineering PLC
STMN:SIX - Straumann Holding AG
TW/:LDN - Taylor Wimpey PLC
TEP:ENXP - Teleperformance
UBI:ENXP - Ubisoft Entertainment SA
UU/:LDN - United Utilities Group PLC
WEIR:LDN - Weir Group PLC
A2A:MIL - A2A Spa
AF:ENXP - Air France-KLM
AVV:LDN - Aveva Group PLC
BIRG:DUBL - Bank Of Ireland
BKT:ESP - Bankinter Sa
BDEV:LDN - Barratt Developments PLC
BARN:SIX - Barry Callebaut Ag
BOL:OMX - Boliden Ab
