,Ticker,Exchange,Name,Clean_Name
952,RJF,NYSE , Raymond James Financial Incorporated, Raymond James Financial
953,REG,NASD , Regency Centers Corporation, Regency Centers
954,ROL,NYSE , Rollins Incorporated, Rollins
955,STX,NASD , Seagate Technology, Seagate Technology
956,SNPS,NASD , Synopsys Incorporated, Synopsys
957,TTWO,NASD , Take Two Interactive Software, Take Two Interactive Software
958,TIF,NYSE , Tiffany & Co, Tiffany & Co
959,UDR,NYSE , UDR Incorporated, Udr
960,UHS,NYSE , Universal Health Services Incorporated, Universal Health Services
961,AES,NYSE , The AES Corporation, The Aes
962,ATO,NYSE , Atmos Energy Corporation, Atmos Energy
963,BR,NYSE , Broadridge Financial Solutions, Broadridge Financial Solutions
964,CBOE,BATS , Cboe Global Markets Incorporated, Cboe Global Markets
965,CF,NYSE , CF Industries Holdings Incorporated, Cf Industries Holdings
966,CPRT,NASD , Copart Incorporated, Copart
967,FANG,NASD , Diamondback Energy Incorporated, Diamondback Energy
968,DRE,NYSE , Duke Realty Corporation, Duke Realty
969,ETFC,NASD , eTrade Financial Corporation, Etrade Financial
970,HAS,NASD , Hasbro Incorporated, Hasbro
971,KEYS,NYSE , Keysight Technologies Incorporated, Keysight Technologies
972,KSS,NYSE , Kohl's Corporation, Kohl'S
973,LB,NYSE , L Brands Incorporated, L Brands
974,LW,NYSE , Lamb Weston Holdings Incorporated, Lamb Weston Holdings
975,NLSN,NYSE , Nielsen Holdings PLC, Nielsen Holdings
976,JWN,NYSE , Nordstrom Incorporated, Nordstrom
977,NCLH,NYSE , Norwegian Cruise Line Holdings Limited, Norwegian Cruise Line Holdings
978,PKI,NYSE , PerkinElmer Incorporated, Perkinelmer
979,PVH,NYSE , PVH Corporation, Pvh
980,DGX,NYSE , Quest Diagnostics Incorporated, Quest Diagnostics
981,SWKS,NASD , Skyworks Solutions Incorporated, Skyworks Solutions
982,AOS,NYSE , AO Smith Corporation, Ao Smith
983,SIVB,NASD , SVB Financial Group, SVB Financial Group
984,FTI,NYSE , TechnipFMC PLC, Technipfmc
985,TFX,NYSE , Teleflex Incorporated, Teleflex
986,TSCO,NASD , Tractor Supply Company, Tractor Supply Company
987,VAR,NYSE , Varian Medical Systems Incorporated, Varian Medical Systems
988,WRK,NYSE , WestRock Incorporated, Westrock
989,WHR,NYSE , Whirlpool Corporation, Whirlpool
990,WYNN,NASD , Wynn Resorts Limited, Wynn Resorts
991,XYL,NYSE , Xylem Incorporated, Xylem
992,ALK,NYSE , Alaska Air Group Incorporated, Alaska Air Group
993,ALLE,NYSE , Allegion PLC, Allegion
994,ADS,NYSE , Alliance Data Systems Corporation, Alliance Data Systems
995,BWA,NYSE , BorgWarner Incorporated, Borgwarner
996,DVA,NYSE , DaVita Incorporated, Davita
997,XRAY,NASD , Dentsply Sirona Incorporated, Dentsply Sirona
998,FFIV,NASD , F5 Networks Incorporated, F5 Networks
999,HII,NYSE , Huntington Ingalls Industries Incorporated, Huntington Ingalls Industries
1000,HFC,NYSE , HollyFrontier Corporation, Hollyfrontier
1001,IPG,NYSE , Interpublic Group Of Companies, Interpublic Group Of Companies
1002,IRM,NYSE , Iron Mountain Incorporated, Iron Mountain
1003,JKHY,NASD , Jack Henry & Associates Incorporated, Jack Henry & Associates
1004,JNPR,NYSE , Juniper Networks Incorporated, Juniper Networks
1005,KSU,NYSE , Kansas City Southern, Kansas City Southern
1006,LKQ,NASD , Lkq Corporation, Lkq
1007,MAS,NYSE , Masco Corporation, Masco
1008,MHK,NYSE , Mohawk Industries Incorporated, Mohawk Industries
1009,NWL,NASD , Newell Brands Incorporated, Newell Brands
1010,NI,NYSE , NiSource Incorporated, Nisource
1011,PKG,NYSE , Packaging Corporation Of America, Packaging Corporation Of America
1012,PRGO,NYSE , Perrigo Company PLC, Perrigo Company
1013,PNW,NYSE , Pinnacle West Capital Corporation, Pinnacle West Capital
1014,RL,NYSE , Ralph Lauren Corporation, Ralph Lauren
1015,URI,NYSE , United Rentals Incorporated, United Rentals
1016,ZION,NASD , Zions Bancorporation, Zions Bancorporation
1017,AIV,NYSE , Apartment Investment & Management Company, Apartment Investment & Management Company
1018,AVY,NYSE , Avery Dennison Corporation, Avery Dennison
1019,CPRI,NYSE , Capri Holdings Limited, Capri Holdings
1020,XEC,NYSE , Cimarex Energy Company, Cimarex Energy Company
1021,DISH,NASD , Dish Network Corporation, Dish Network
1022,RE,NYSE , Everest Re Group Limited, Everest Re Group
1023,FL,NYSE , Foot Locker Incorporated, Foot Locker
1024,KIM,NYSE , Kimco Realty Corporation, Kimco Realty
1025,MAC,NYSE , The Macerich Company, The Macerich Company
1026,MKTX,NASD , MarketAxess Holdings Incorporated, Marketaxess Holdings
1027,PNR,NYSE , Pentair PLC, Pentair
1028,PHM,NYSE , PulteGroup Incorporated, Pultegroup
1029,RHI,NYSE , Robert Half International Incorporated, Robert Half International
1030,SNA,NYSE , Snap-On Incorporated, Snap-On
1031,UNM,NYSE , Unum Group, Unum Group
1032,WAB,NYSE , Wabtec Corporation, Wabtec
1033,WU,NYSE , Western Union Company (The), Western Union Company (The)
1034,COTY,NYSE , Coty Incorporated, Coty
1035,DOW,NYSE , Dow Inc, Dow
1036,FLIR,NASD , Flir Systems Incorporated, Flir Systems
1037,FLS,NYSE , Flowserve Corporation, Flowserve
1038,HBI,NYSE , Hanesbrands Incorporated, Hanesbrands
1039,HOG,NYSE , Harley-Davidson Incorporated, Harley-Davidson
1040,IVZ,NYSE , Invesco Limited, Invesco
1041,IPGP,NASD , IPG Photonics Corporation, Ipg Photonics
1042,QRVO,NASD , Qorvo Incorporated, Qorvo
1043,SLG,NYSE , SL Green Realty Corporation, Sl Green Realty
1044,TRIP,NASD , Tripadvisor Incorporated, Tripadvisor
1045,UAA,NYSE , Under Armour Incorporated, Under Armour
1046,XRX,NYSE , Xerox Corporation, Xerox
1047,AMG,NYSE , Affiliated Managers Group Inc, Affiliated Managers Group
1048,AIZ,NYSE , Assurant Incorporated, Assurant
1049,DISCA,NASD , Discovery Incorporated, Discovery
1050,FBHS,NYSE , Fortune Brands Home & Security Incorporated, Fortune Brands Home & Security
1051,HRB,NYSE , H&R Block Incorporated, H&R Block
1052,HP,NYSE , Helmerich & Payne Incorporated, Helmerich & Payne
1053,JEF,NYSE , Jefferies Financial Group Incorporated, Jefferies Financial Group
1054,NKTR,NASD , Nektar Therapeutics, Nektar Therapeutics
1055,PBCT,NASD , Peoples United Financial Incorporated, Peoples United Financial
1056,SEE,NYSE , Sealed Air Corporation, Sealed Air
1057,LEG,NYSE , Leggett & Platt Incorporated, Leggett & Platt
1058,NWSA,NASD , News Corporation, News
1059,PWR,NYSE , Quanta Services Incorporated, Quanta Services
1060,AMCR,NYSE , Amcor PLC, Amcor
1061,CTVA,NYSE , Corteva Incorporated, Corteva
1062,FOXA,NASD , Fox Corporation, Fox
1063,GOOG,NASD , Alphabet Incorporated, Alphabet
1064,BRK/B,NYSE , Berkshire Hathaway Incorporated, Berkshire Hathaway
1065,DISCK,NASD , Discovery Incorporated, Discovery
1066,FOX,NASD , Fox Corporation, Fox
1067,NWS,NASD , News Corporation, News
1068,UA/C,NYSE , Under Armour Incorporated, Under Armour
1069,TSLA,NASD , Tesla Incorporated, Tesla
1070,BIDU,NASD , Baidu Incorporated, Baidu
1071,NTES,NASD , Netease Incorporated, Netease
1072,NXPI,NASD , NXP Semiconductors Nv, Nxp Semiconductors
1073,SIRI,NASD , Sirius XM Holdings Incorporated, Sirius Xm Holdings
1074,WDAY,NASD , Workday Incorporated, Workday
1075,BMRN,NASD , Biomarin Pharmaceutical Incorporated, Biomarin Pharmaceutical
1076,CHKP,NASD , Check Point Software Technologies Limited, Check Point Software Technologies
1077,LULU,NASD , Lululemon Athletica Incorporated, Lululemon Athletica
1078,MELI,NASD , MercadoLibre Incorporated, Mercadolibre
1079,LBTYA,NASD , Liberty Global PLC, Liberty Global
1080,ASML,NASD , ASML Holding Nv, Asml Holding
1081,LBTYK,NASD , Liberty Global PLC, Liberty Global
1082,AMTD,NASD , Td Ameritrade Holding Corporation, Td Ameritrade Holding
1083,SPLK,NASD , Splunk Incorporated, Splunk
1084,CDW,NASD , CDW Corporation, Cdw
1085,CSGP,NASD , CoStar Group Incorporated, Costar Group
1086,IAC,NASD , IAC/Interactivecorp, IAC/Interactivecorp
1087,DXCM,NASD , Dexcom Incorporated, Dexcom
1088,IEP,NASD , Icahn Enterprises Limited Partnership, Icahn Enterprises Limited Partnership
1089,SSNC,NASD , SS&C Technologies Holdings Incorporated, Ss&C Technologies Holdings
1090,ACGL,NASD , Arch Capital Group Limited, Arch Capital Group
1091,MRVL,NASD , Marvell Technology Group Limited, Marvell Technology Group
1092,ODFL,NASD , Old Dominion Freight Line Incorporated, Old Dominion Freight Line
1093,PTC,NASD , PTC Incorporated, Ptc
1094,SGEN,NASD , Seattle Genetics Incorporated, Seattle Genetics
1095,AGNC,NASD , AGNC Investment Corporation, Agnc Investment
1096,DOX,NASD , Amdocs Limited, Amdocs
1097,TEAM,NASD , Atlassian Corporation PLC, Atlassian Corporation
1098,BGNE,NASD , BeiGene Limited, Beigene
1099,CGNX,NASD , Cognex Corporation, Cognex
1100,CBSH,NASD , Commerce Bancshares Incorporated, Commerce Bancshares
1101,EXAS,NASD , Exact Sciences Corporation, Exact Sciences
1102,HTHT,NASD , Huazhu Group Limited, Huazhu Group
1103,JAZZ,NASD , Jazz Pharmaceuticals PLC, Jazz Pharmaceuticals
1104,MLCO,NASD , Melco Resorts & Entertainment Limited, Melco Resorts & Entertainment
1105,OTEX,NASD , Open Text Corporation, Open Text
1106,QRTEA,NASD , Qurate Retail Incorporated, Qurate Retail
1107,SRPT,NASD , Sarepta Therapeutics Incorporated, Sarepta Therapeutics
1108,TRMB,NASD , Trimble Incorporated, Trimble
1109,YNDX,NASD , Yandex Nv, Yandex
1110,ZBRA,NASD , Zebra Technologies Corporation, Zebra Technologies
1111,ALNY,NASD , Alnylam Pharmaceuticals Incorporated, Alnylam Pharmaceuticals
1112,UHAL,NASD , Amerco, Amerco
1113,CACC,NASD , Credit Acceptance Corporation, Credit Acceptance
1114,EWBC,NASD , East West Bancorp Incorporated, East West Bancorp
1115,GLPI,NASD , Gaming And Leisure Properties Incorporated, Gaming And Leisure Properties
1116,GNTX,NASD , Gentex Corporation, Gentex
1117,GT,NASD , The Goodyear Tire & Rubber Co, The Goodyear Tire & Rubber Co
1118,HDS,NASD , HD Supply Holdings Incorporated, Hd Supply Holdings
1119,ICLR,NASD , Icon PLC, Icon
1120,IONS,NASD , Ionis Pharmaceuticals Incorporated, Ionis Pharmaceuticals
1121,NBIX,NASD , Neurocrine Biosciences Incorporated, Neurocrine Biosciences
1122,NTNX,NASD , Nutanix Inc, Nutanix
1123,OKTA,NASD , Okta Incorporated, Okta
1124,ON,NASD , ON Semiconductor Corporation, On Semiconductor
1125,PRAH,NASD , PRA Health Sciences, PRA Health Sciences
1126,SABR,NASD , Sabre Corporation, Sabre
1127,SEIC,NASD , SEI Investments Company, SEI Investments Company
1128,SBNY,NASD , Signature Bank, Signature Bank
1129,STLD,NASD , Steel Dynamics Incorporated, Steel Dynamics
1130,SRCL,NASD , Stericycle Incorporated, Stericycle
1131,TLRY,NASD , Tilray Incorporated, Tilray
1132,WB,NASD , Weibo Corporation, Weibo
1133,AMRN,NASD , Amarin Corporation PLC, Amarin Corporation
1134,AMED,NASD , Amedisys Incorporated, Amedisys
1135,AZPN,NASD , Aspen Technology Incorporated, Aspen Technology
1136,AVT,NASD , Avnet Incorporated, Avnet
1137,TECH,NASD , Bio-Techne Corporation, Bio-Techne
1138,BLUE,NASD , Bluebird Bio, Bluebird Bio
1139,BOKF,NASD , BOK Financial Corporation, Bok Financial
1140,BPY,NASD , Brookfield Property Partners Limited Partnership, Brookfield Property Partners Limited Partnership
1141,CDK,NASD , CDK Global Incorporated, Cdk Global
1142,NVCR,NASD , Novocure, Novocure
1143,HAE,NYSE , Haemonetics Corporation, Haemonetics
1144,TDOC,NYSE , Teladoc Health Incorporated, Teladoc Health
1145,GNRC,NYSE , Generac Holdings Incorporated, Generac Holdings
1146,RDN,NYSE , Radian Group Incorporated, Radian Group
1147,FR,NYSE , First Industrial Realty Trust Incorporated, First Industrial Realty Trust
1148,LITE,NASD , Lumentum Holdings Incorporated, Lumentum Holdings
1149,ESNT,NYSE , Essent Group Limited, Essent Group
1150,VAC,NYSE , Marriott Vacations Worldwide Corporation, Marriott Vacations Worldwide
1151,REXR,NYSE , Rexford Industrial Realty Incorporated, Rexford Industrial Realty
1152,POR,NYSE , Portland General Electric Company, Portland General Electric Company
1153,TREX,NYSE , Trex Company Incorporated, Trex Company
1154,ACAD,NASD , Acadia Pharmaceuticals Incorporated, Acadia Pharmaceuticals
1155,EME,NYSE , EMCOR Group Incorporated, Emcor Group
1156,SAIC,NYSE , Science Applications International Corporation, Science Applications International
1157,EGP,NYSE , Eastgroup Properties Incorporated, Eastgroup Properties
1158,BKH,NYSE , Black Hills Corporation, Black Hills
1159,MMS,NYSE , Maximus Incorporated, Maximus
1160,TTEK,NASD , Tetra Tech Incorporated, Tetra Tech
1161,PFGC,NYSE , Performance Food Group Company, Performance Food Group Company
1162,DECK,NYSE , Deckers Outdoor Corporation, Deckers Outdoor
1163,RETA,NASD , Reata Pharmaceuticals Incorporated, Reata Pharmaceuticals
1164,ARWR,NASD , Arrowhead Pharmaceuticals Incorporated, Arrowhead Pharmaceuticals
1165,OGS,NYSE , One Gas Incorporated, One Gas
1166,BXMT,NYSE , Blackstone Mortgage Trust Incorporated, Blackstone Mortgage Trust
1167,BCO,NYSE , The Brink's Company, The Brink's Company
1168,CHDN,NASD , Churchill Downs Incorporated, Churchill Downs
1169,FFIN,NASD , First Financial Bankshares Incorporated, First Financial Bankshares
1170,JCOM,NASD , J2 Global Incorporated, J2 Global
1171,SLAB,NASD , Silicon Laboratories Incorporated, Silicon Laboratories
1172,MSA,NYSE , MSA Safety Incorporated, Msa Safety
1173,RGEN,NASD , Repligen Corporation, Repligen
1174,CHGG,NYSE , Chegg Incorporated, Chegg
1175,ACIW,NASD , ACI Worldwide Incorporated, Aci Worldwide
1176,AAXN,NASD , Axon Enterprise Incorporated, Axon Enterprise
1177,HQY,NASD , Healthequity Incorporated, Healthequity
1178,KBR,NYSE , KBR Incorporated, Kbr
1179,SF,NYSE , Stifel Financial Corporation, Stifel Financial
1180,GMED,NYSE , Globus Medical Incorporated, Globus Medical
1181,ALE,NYSE , Allete Incorporated, Allete
1182,SWX,NYSE , Southwest Gas Holdings Incorporated, Southwest Gas Holdings
1183,HR,NYSE , Healthcare Realty Trust Incorporated, Healthcare Realty Trust
1184,BLKB,NASD , Blackbaud Incorporated, Blackbaud
1185,SBRA,NASD , Sabra Healthcare Real Estate Investment Incorporated, Sabra Healthcare Real Estate Investment
1186,CRUS,NASD , Cirrus Logic Incorporated, Cirrus Logic
1187,RHP,NYSE , Ryman Hospitality Properties Incorporated, Ryman Hospitality Properties
1188,LHCG,NASD , LHC Group Incorporated, Lhc Group
1189,FCN,NYSE , FTI Consulting Incorporated, Fti Consulting
1190,ROLL,NASD , Rbc Bearings Incorporated, Rbc Bearings
1191,LIVN,NASD , LivaNova PLC, Livanova
1192,RLI,NYSE , RLI Corp, Rli
1193,HELE,NASD , Helen Of Troy Limited, Helen Of Troy
1194,MTZ,NYSE , Mastec Incorporated, Mastec
1195,FIVN,NASD , Five9 Incorporated, Five9
1196,STAG,NYSE , Stag Industrial, Stag Industrial
1197,AAN,NYSE , Aaron's Incorporated, Aaron'S
1198,VLY,NASD , Valley National Bancorp, Valley National Bancorp
1199,PNM,NYSE , PNM Resources Incorporated, Pnm Resources
1200,SR,NYSE , Spire Incorporated, Spire
1201,TXRH,NASD , Texas Roadhouse Incorporated, Texas Roadhouse
1202,MRCY,NASD , Mercury Systems Incorporated, Mercury Systems
1203,TNDM,NASD , Tandem Diabetes Care Incorporated, Tandem Diabetes Care
1204,NJR,NYSE , New Jersey Resources Corporation, New Jersey Resources
1205,DAR,NYSE , Darling Ingredients Incorporated, Darling Ingredients
1206,SIGI,NASD , Selective Insurance Group Incorporated, Selective Insurance Group
1207,PRSP,NYSE , Perspecta Incorporated, Perspecta
1208,GBCI,NASD , Glacier Bancorp Incorporated, Glacier Bancorp
1209,WMGI,NASD , Wright Medical Group Nv, Wright Medical Group
1210,UBSI,NASD , United Bankshares Incorporated, United Bankshares
1211,BPMC,NASD , Blueprint Medicines Corporation, Blueprint Medicines
1212,CCMP,NASD , Cabot Microelectronics Corporation, Cabot Microelectronics
1213,BLD,NYSE , Topbuild Corporation, Topbuild
1214,HWC,NASD , Hancock Whitney Corporation, Hancock Whitney
1215,NGVT,NYSE , Ingevity Corporation, Ingevity
1216,NUVA,NASD , Nuvasive Incorporated, Nuvasive
1217,LPX,NYSE , Louisiana Pacific Corporation, Louisiana Pacific
1218,TRNO,NYSE , Terreno Realty Corporation, Terreno Realty
1219,MUSA,NYSE , Murphy USA Incorporated, Murphy Usa
1220,NWE,NYSE , NorthWestern Corporation, Northwestern
1221,SSD,NYSE , Simpson Manufacturing Company Incorporated, Simpson Manufacturing Company
1222,SHOO,NASD , Steven Madden Limited, Steven Madden
1223,LAD,NYSE , Lithia Motors Incorporated, Lithia Motors
1224,SITE,NYSE , SiteOne Landscape Supply Incorporated, Siteone Landscape Supply
1225,QTWO,NYSE , Q2 Holdings Incorporated, Q2 Holdings
1226,ERI,NASD , Eldorado Resorts Incorporated, Eldorado Resorts
1227,PSB,NYSE , Ps Business Parks Incorporated, Ps Business Parks
1228,DOC,NYSE , Physicians Realty Trust, Physicians Realty Trust
1229,RBS,NYSE , Community Bank System Incorporated, Community Bank System
1230,CSOD,NASD , Cornerstone OnDemand, Cornerstone OnDemand
1231,VIAV,NASD , Viavi Solutions Incorporated, Viavi Solutions
1232,FCFS,NASD , FirstCash Incorporated, Firstcash
1233,NEOG,NASD , Neogen Corporation, Neogen
1234,NHI,NYSE , National Health Investors Incorporated, National Health Investors
1235,SYNH,NASD , Syneos Health Incorporated, Syneos Health
1236,ASGN,NYSE , ASGN Incorporated, Asgn
1237,JBT,NYSE , John Bean Technologies Corporation, John Bean Technologies
1238,TGNA,NYSE , Tegna Incorporated, Tegna
1239,RAMP,NYSE , Acxiom Llc, Acxiom
1240,PEB,NYSE , Pebblebrook Hotel Trust, Pebblebrook Hotel Trust
1241,OMCL,NASD , Omnicell Incorporated, Omnicell
1242,GBT,NASD , Global Blood Therapeutics Incorporated, Global Blood Therapeutics
1243,IMMU,NASD , Immunomedics Incorporated, Immunomedics
1244,THC,NYSE , Tenet Healthcare Corporation, Tenet Healthcare
1245,"RH:NYSE - Restoration Hardware Holdings, Inc",,,nan
1246,NVRO,NYSE , Nevro Corporation, Nevro
1247,SMTC,NASD , Semtech Corporation, Semtech
1248,RXN,NYSE , Rexnord Corporation, Rexnord
1249,EXPO,NASD , Exponent Incorporated, Exponent
1250,BCPC,NASD , Balchem Corporation, Balchem
1251,SAFM,NASD , Sanderson Farms Incorporated, Sanderson Farms
1252,AJRD,NYSE , Aerojet Rocketdyne Holding Limited, Aerojet Rocketdyne Holding
1253,UNF,NYSE , UniFirst Corporation, Unifirst
1254,SAM,NYSE , Boston Beer Company Incorporated, Boston Beer Company
1255,ENV,NYSE , Envestnet Incorporated, Envestnet
1256,ONB,NASD , Old National Bancorp, Old National Bancorp
1257,SKYW,NASD , SkyWest Incorporated, Skywest
1258,AWR,NYSE , American States Water Company, American States Water Company
1259,VRNT,NASD , Verint Systems Incorporated, Verint Systems
1260,SHO,NYSE , Sunstone Hotel Investors Incorporated, Sunstone Hotel Investors
1261,AUB,NASD , Atlantic Union Bankshares Corporation, Atlantic Union Bankshares
1262,AVA,NYSE , Avista Corporation, Avista
1263,IPHI,NYSE , Inphi Corporation, Inphi
1264,BRKS,NASD , Brooks Automation Incorporated, Brooks Automation
1265,ADC,NYSE , Agree Realty Corporation, Agree Realty
1266,ORA,NYSE , Ormat Technologies Incorporated, Ormat Technologies
1267,ENS,NYSE , EnerSys, EnerSys
1268,CBRL,NASD , Cracker Barrel Old Country Store, Cracker Barrel Old Country Store
1269,FGEN,NASD , FibroGen Incorporated, Fibrogen
1270,BXS,NYSE , BancorpSouth Bank, BancorpSouth Bank
1271,GATX,NYSE , GATX Corporation, Gatx
1272,LANC,NASD , Lancaster Colony Corporation, Lancaster Colony
1273,STRA,NASD , Strategic Education Incorporated, Strategic Education
1274,UMBF,NASD , UMB Financial Corporation, Umb Financial
1275,CARG,NASD , CarGurus Incorporated, Cargurus
1276,QLYS,NASD , Qualys Incorporated, Qualys
1277,KBH,NYSE , KB Home, KB Home
1278,WAFD,NASD , Washington Federal Incorporated, Washington Federal
1279,HOMB,NASD , Home BancShares Incorporated, Home Bancshares
1280,NSP,NYSE , Insperity Incorporated, Insperity
1281,NOVT,NASD , Novanta Incorporated, Novanta
1282,BLDR,NASD , Builders FirstSource Incorporated, Builders Firstsource
1283,CATY,NASD , Cathay General Bancorp, Cathay General Bancorp
1284,ATI,NYSE , Allegheny Technologies Incorporated, Allegheny Technologies
1285,RLJ,NYSE , RLJ Lodging Trust, RLJ Lodging Trust
1286,CVBF,NASD , CVB Financial Corporation, Cvb Financial
1287,MLHR,NASD , Herman Miller Incorporated, Herman Miller
1288,EVBG,NASD , Everbridge Incorporated, Everbridge
1289,UFPI,NASD , Universal Forest Products Incorporated, Universal Forest Products
1290,B,NYSE , Barnes Group Incorporated, Barnes Group
1291,PCH,NASD , PotlatchDeltic Corporation, Potlatchdeltic
1292,JJSF,NASD , J&J Snack Foods Corporation, J&J Snack Foods
1293,INDB,NASD , Independent Bank Corporation, Independent Bank
1294,SJI,NYSE , South Jersey Industry Incorporated, South Jersey Industry
1295,CNO,NYSE , CNO Financial Group Incorporated, Cno Financial Group
1296,SSB,NASD , South State Corporation, South State
1297,ISBC,NASD , Investors Bancorp Incorporated, Investors Bancorp
1298,FULT,NASD , Fulton Financial Corporation, Fulton Financial
1299,INT,NYSE , World Fuel Services Corporation, World Fuel Services
1300,CMPR,NASD , Cimpress Nv, Cimpress
1301,ARI,NYSE , Apollo Commercial Real Estate Finance Incorporated, Apollo Commercial Real Estate Finance
1302,QTS,NYSE , Qts Realty Trust Incorporated, Qts Realty Trust
1303,AMN,NYSE , AMN Healthcare Services Incorporated, Amn Healthcare Services
1304,KMT,NYSE , Kennametal Incorporated, Kennametal
1305,HALO,NASD , Halozyme Therapeutics Incorporated, Halozyme Therapeutics
1306,BRC,NYSE , Brady Corporation, Brady
1307,WWW,NYSE , Wolverine Worldwide Incorporated, Wolverine Worldwide
1308,MYOK,NASD , Myokardia Incorporated, Myokardia
1309,KW,NYSE , Kennedy-Wilson Holdings Incorporated, Kennedy-Wilson Holdings
1310,COLB,NASD , Columbia Banking Systems Incorporated, Columbia Banking Systems
1311,ITRI,NASD , Itron Incorporated, Itron
1312,MGEE,NASD , MGE Energy Incorporated, Mge Energy
1313,PDM,NYSE , Piedmont Office Realty Trust, Piedmont Office Realty Trust
1314,DK,NYSE , Delek Us Holdings Incorporated, Delek Us Holdings
1315,SXT,NYSE , Sensient Technologies Corporation, Sensient Technologies
1316,HMSY,NASD , HMS Holdings Corporation, Hms Holdings
1317,SUM,NYSE , Summit Materials Incorporated, Summit Materials
1318,SAVE,NYSE , Spirit Airlines Incorporated, Spirit Airlines
1319,WTS,NYSE , Watts Water Technologies Incorporated, Watts Water Technologies
1320,ABCB,NASD , Ameris Bancorp, Ameris Bancorp
1321,RPD,NASD , Rapid7, Rapid7
1322,PRLB,NYSE , Proto Labs Incorporated, Proto Labs
1323,VC,NASD , Visteon Corporation, Visteon
1324,WDFC,NASD , WD-40 Company, WD-40 Company
1325,CCOI,NASD , Cogent Communications Holdings Incorporated, Cogent Communications Holdings
1326,BJ,NYSE , BJ's Wholesale Club Holdings Incorporated, Bj'S Wholesale Club Holdings
1327,AIN,NYSE , Albany International Corporation, Albany International
1328,POWI,NASD , Power Integrations Incorporated, Power Integrations
1329,AEL,NYSE , American Equity Investment Life Holding Company, American Equity Investment Life Holding Company
1330,LCII,NYSE , LCI Industries, LCI Industries
1331,VSH,NYSE , Vishay Intertechnology Incorporated, Vishay Intertechnology
1332,ACIA,NASD , Acacia Communications Incorporated, Acacia Communications
1333,ABM,NYSE , ABM Industries Incorporated, Abm Industries
1334,CNNE,NYSE , Cannae Holdings Incorporated, Cannae Holdings
1335,FUL,NYSE , H.B. Fuller Company, H.B. Fuller Company
1336,PTCT,NASD , PTC Therapeutics Incorporated, Ptc Therapeutics
1337,LXP,NYSE , Lexington Realty Trust, Lexington Realty Trust
1338,FOLD,NASD , Amicus Therapeutics Incorporated, Amicus Therapeutics
1339,FELE,NASD , Franklin Electric Company Incorporated, Franklin Electric Company
1340,IOVA,NASD , IOVANCE Biotechnologies Incorporated, Iovance Biotechnologies
1341,YELP,NYSE , Yelp Incorporated, Yelp
1342,IRDM,NASD , Iridium Communications Incorporated, Iridium Communications
1343,AIT,NYSE , Applied Industrial Technologies Incorporated, Applied Industrial Technologies
1344,CRS,NYSE , Carpenter Technology Corporation, Carpenter Technology
1345,WRE,NYSE , Washington Real Estate Investment Trust, Washington Real Estate Investment Trust
1346,MTLS,NYSE , Commercial Metals Company, Commercial Metals Company
1347,PENN,NASD , Penn National Gaming Incorporated, Penn National Gaming
1348,TNET,NYSE , Trinet Group Incorporated, Trinet Group
1349,SAIA,NASD , Saia Incorporated, Saia
1350,ITGR,NYSE , Integer Holdings Corporation, Integer Holdings
1351,DAN,NYSE , Dana Incorporated, Dana
1352,IIVI,NASD , II-VI Incorporated, Ii-Vi
1353,CWT,NYSE , California Water Service Group, California Water Service Group
1354,ADSW,NYSE , Advanced Disposal Services, Advanced Disposal Services
1355,TMHC,NYSE , Taylor Morrison Home II Corporation, Taylor Morrison Home Ii
1356,ROG,NYSE , Rogers Corporation, Rogers
1357,MNRO,NASD , Monro Incorporated, Monro
1358,GKOS,NYSE , Glaukos Corporation, Glaukos
1359,MTH,NYSE , Meritage Homes Corporation, Meritage Homes
1360,BYD,NYSE , Boyd Gaming Corporation, Boyd Gaming
1361,SEM,NYSE , Select Medical Holdings Corporation, Select Medical Holdings
1362,MRTX,NASD , Mirati Therapeutics Incorporated, Mirati Therapeutics
1363,AEO,NYSE , American Eagle Outfitters Inco, American Eagle Outfitters
1364,QDEL,NASD , Quidel Corporation, Quidel
1365,FFBC,NASD , First Financial Bancorp, First Financial Bancorp
1366,XHR,NYSE , Xenia Hotels & Resorts Incorporated, Xenia Hotels & Resorts
1367,UE,NYSE , Urban Edge Properties, Urban Edge Properties
1368,FOXF,NASD , Fox Factory Holding Corporation, Fox Factory Holding
1369,IPF,NASD , International Bancshares Corporation, International Bancshares
1370,EBS,NYSE , Emergent Biosolutions Incorporated, Emergent Biosolutions
1371,ARNA,NASD , Arena Pharmaceuticals Incorporated, Arena Pharmaceuticals
1372,NEO,NASD , NeoGenomics Incorporated, Neogenomics
1373,IVR,NYSE , Invesco Mortgage Capital Incorporated, Invesco Mortgage Capital
1374,IOSP,NASD , Innospec Incorporated, Innospec
1375,WSFS,NASD , WSFS Financial Corporation, Wsfs Financial
1376,SFNC,NASD , Simmons First National Corporation, Simmons First National
1377,AEIS,NASD , Advanced Energy Industries Incorporated, Advanced Energy Industries
1378,EXLS,NASD , EXL Service Holdings Incorporated, Exl Service Holdings
1379,BECN,NASD , Beacon Roofing Supply Incorporated, Beacon Roofing Supply
1380,ESGR,NASD , Enstar Group Limited, Enstar Group
1381,HI,NYSE , Hillenbrand Incorporated, Hillenbrand
1382,VRNS,NASD , Varonis Systems Incorporated, Varonis Systems
1383,NSIT,NASD , Insight Enterprises Incorporated, Insight Enterprises
