,Ticker,Exchange,Name,Clean_Name
331,CTEC,LDN , Convatec Group PLC, Convatec Group
332,WDH,OMXC , Demant A/S, Demant
333,ECM,LDN , Electrocomponents PLC, Electrocomponents
334,RF,ENXP , Eurazeo Se, Eurazeo
335,ERF,ENXP , Eurofins Scientific Ag, Eurofins Scientific
336,GJF,OSLO , Gjensidige Forsikring Asa, Gjensidige Forsikring
337,GL9,DUBL , Glanbia PLC, Glanbia
338,GVC,LDN , GVC Holdings PLC, Gvc Holdings
339,HELN,SIX , Helvetia Holding Ag, Helvetia Holding
340,HWDN,LDN , Howden Joinery Group PLC, Howden Joinery Group
341,ICA,OMX , ICA Gruppen Ab, Ica Gruppen
342,IMI,LDN , IMI PLC, Imi
343,INCH,LDN , Inchcape PLC, Inchcape
344,ICP,LDN , Intermediate Capital Group PLC, Intermediate Capital Group
345,KGH,WARS , KGHM Polska Miedz Sa, Kghm Polska Miedz
346,KRX,DUBL , Kingspan Group PLC, Kingspan Group
347,VPK,ENXA , Koninklijke Vopak NV, Koninklijke Vopak
348,LDO,MIL , Leonardo SPA, Leonardo SPA
349,METSO,HELS , Metso Oyj, Metso
350,TYRES,HELS , Nokian Renkaat Oyj, Nokian Renkaat
351,ORP,ENXP , Orpea Sa, Orpea
352,PNN,LDN , Pennon Group PLC, Pennon Group
353,PHNX,LDN , Phoenix Group Holdings PLC, Phoenix Group Holdings
354,REC,MIL , Recordati Industria Chimica, Recordati Industria Chimica
355,RXL,ENXP , Rexel, Rexel
356,RMG,LDN , Royal Mail PLC, Royal Mail
357,SPM,MIL , Saipem, Saipem
358,SVT,LDN , Severn Trent PLC, Severn Trent
359,SK3,DUBL , Smurfit Kappa Group PLC, Smurfit Kappa Group
360,STJ,LDN , Saint James' Place PLC, Saint James' Place
361,TNET,ENXB , Telenet Group Holding Nv, Telenet Group Holding
362,TRYG,OMXC , Tryg A/S, Tryg
363,TLW,LDN , Tullow Oil PLC, Tullow Oil
364,UBI,MIL , Unione Di Banche Italian, Unione Di Banche Italian
365,UTG,LDN , Unite Group PLC, Unite Group
366,VAS,WIEN , Voestalpine Ag, Voestalpine
367,WG/,LDN , Wood Group (John) PLC, Wood Group (John)
368,AALB,ENXA , Aalberts Nv, Aalberts
369,AGK,LDN , Aggreko PLC, Aggreko
370,AMBUB,OMXC , Ambu 'B'A/S, Ambu 'B'A/S
371,ASHM,LDN , Ashmore Group PLC, Ashmore Group
372,ASRNL,ENXA , ASR Nederland, ASR Nederland
